version,git_commit,data_source,device,solver_name,sample_size,feature_dim,pop_size,fit_time_s,converged,iter_num,compile_time_fraction,final_loss,final_grad_max
latest,660e47a,synthetic,gpu,LBFGS[scipy],100,1,10,0.42084208017913627,True,8.0,0.0,9.734940360643018,4.2343302436944653e-07
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],100,1,20,0.42161099800141527,True,25.0,0.9134206049990945,19.51153830844901,3.7675438233964777e-07
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],100,10,20,0.422950507706264,True,89.0,0.8633059870317421,17.476004757870665,0.0009083651337342998
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],1000,10,20,0.42368799161049536,True,31.0,0.8384719146938476,18.732032497261944,1.4361819821590016e-07
latest,660e47a,synthetic,cpu,LBFGS[scipy],100000,1,10,0.42569415720063253,True,5.0,0.0,9.922374712917426,7.27801160890811e-07
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],100000,1,1,0.4261330222012475,True,9.0,0.7310499642993402,0.9930599438631408,1.2568917620667946e-07
latest,660e47a,synthetic,cpu,BFGS[optimistix],10000,100,1,0.4272076081018895,True,19.0,0.8718172361858217,-0.2173810365645299,6.13665989338116e-08
latest,660e47a,synthetic,cpu,LBFGS[scipy],100000,100,1,0.4291705549112521,True,9.0,0.0,-0.141405475758782,1.6051799781513154e-07
latest,660e47a,synthetic,gpu,LBFGS[scipy],100000,1,20,0.4293371304054744,True,7.0,0.0,19.786024827106274,3.584733772446828e-07
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],1000,10,20,0.4324760821997188,True,32.0,0.8311401845756006,18.71545466900724,2.2386216248261598e-07
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],1000,1,20,0.43276497930055485,True,20.0,0.8647078953263974,19.740073430563942,8.753610394852084e-07
latest,660e47a,synthetic,cpu,Newton[nemos],1000,100,1,0.4329407213954255,True,6.0,0.9421595584986576,-0.3315235602685145,5.423723043222143e-10
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],100,10,20,0.43409778469358573,True,99.0,0.8510570531915436,17.452847676200822,8.274942437727639e-07
latest,660e47a,synthetic,cpu,BFGS[optimistix],1000,1,20,0.4345139677985571,True,9.0,0.9109020397634691,19.73810507034629,1.7958581111782168e-08
latest,660e47a,synthetic,cpu,BFGS[optimistix],10000,10,10,0.43512389360694215,True,12.0,0.8564316949632635,9.400467400486605,5.465643890603665e-08
latest,660e47a,synthetic,cpu,BFGS[optimistix],100000,10,1,0.435181465203641,True,7.0,0.8691168037028382,0.9643608129123976,5.983699318588443e-09
latest,660e47a,synthetic,cpu,GradientDescent[optimistix],100,100,1,0.43846813078853303,False,4000.0,0.739507624760742,-1.0257124574444056,3.5628646366814027e-06
latest,660e47a,synthetic,cpu,Newton[nemos],1000,10,10,0.44021278209402226,True,4.0,0.9576276836323823,9.369891325483977,1.136064912282686e-09
latest,660e47a,synthetic,cpu,ProximalGradient[optimistix],100,100,1,0.4403653210029006,False,4000.0,0.7481157153370461,-1.0001442499792812,0.0017723580625428
latest,660e47a,synthetic,cpu,BFGS[optimistix],10000,1,20,0.44148839330882766,True,9.0,0.8822703315101247,19.781649798909104,2.2839836506241204e-08
